Date,Open,High,Low,Close,Adj Close,Volume
1996-01-01,0.79492,0.79668,0.79102,0.79668,-0.000436,204800.0
1996-01-02,0.79492,0.79883,0.79346,0.79346,-0.000435,204800.0
1996-01-03,0.79883,0.79883,0.79883,0.79883,-0.000437,102400.0
1996-01-04,0.79102,0.79492,0.79102,0.79355,-0.000435,307200.0
1996-01-05,0.78418,0.78418,0.78418,0.78418,-0.000429,51200.0
1996-01-08,0.78418,0.79102,0.78516,0.78906,-0.000432,358400.0
1996-01-09,0.78906,0.78125,0.77148,0.78027,-0.000427,870400.0
1996-01-10,0.78027,0.77539,0.77148,0.77344,-0.000424,358400.0
1996-01-11,0.7793,0.79102,0.77344,0.79102,-0.000433,819200.0
1996-01-12,0.78711,0.78711,0.78125,0.78662,-0.000431,358400.0
1996-01-15,0.77637,0.78516,0.77637,0.77783,-0.000426,307200.0
1996-01-16,0.77783,0.78125,0.71289,0.78125,-0.000428,358400.0
1996-01-17,0.78125,0.7832,0.77148,0.77383,-0.000424,768000.0
1996-01-18,0.77383,0.77637,0.76953,0.77637,-0.000425,204800.0
1996-01-19,0.77148,0.77148,0.76807,0.76855,-0.000421,512000.0
1996-01-22,0.77148,0.77637,0.77148,0.77637,-0.000425,204800.0
1996-01-23,0.76758,0.78125,0.76758,0.77393,-0.000424,665600.0
1996-01-24,0.77393,0.77051,0.75293,0.77051,-0.000422,409600.0
1996-01-25,0.771,0.771,0.76758,0.76758,-0.00042,102400.0
1996-01-26,284.21454166736913,287.7100740191101,280.64618151805576,284.17321792566815,191.53280214186233,15844637.598380568
1996-01-29,0.76563,0.76563,0.76318,0.76318,-0.000418,102400.0
1996-01-30,0.76318,0.77539,0.77148,0.77246,-0.000423,1433600.0
1996-01-31,0.77246,0.78125,0.76758,0.78125,-0.000428,460800.0
1996-02-01,0.78125,0.81055,0.78125,0.81055,-0.000444,819200.0
1996-02-02,0.81055,0.83984,0.81055,0.83975,-0.00046,2355200.0
1996-02-05,0.83975,0.8418,0.82041,0.83984,-0.00046,819200.0
1996-02-06,0.83984,0.88379,0.83984,0.85938,-0.000471,1382400.0
1996-02-07,0.85938,0.84375,0.83398,0.83652,-0.000458,972800.0
1996-02-08,0.84961,0.88867,0.84961,0.88867,-0.000487,768000.0
1996-02-09,0.88867,0.92773,0.83008,0.92256,-0.000505,1382400.0
1996-02-12,0.92256,0.93555,0.9082,0.91211,-0.0005,819200.0
1996-02-13,0.9375,0.95703,0.9375,0.95703,-0.000524,2048000.0
1996-02-14,0.95703,1.00098,0.95117,0.99316,-0.000544,972800.0
1996-02-15,0.99316,1.00586,0.95703,1.00254,-0.000549,2201600.0
1996-02-16,1.00254,1.01563,0.96533,1.00537,-0.000551,2764800.0
1996-02-19,1.00537,0.98633,0.98242,0.98457,-0.000539,1024000.0
1996-02-20,0.98457,0.98145,0.96875,0.96895,-0.000531,614400.0
1996-02-21,284.21454166736913,287.7100740191101,280.64618151805576,284.17321792566815,191.53280214186233,15844637.598380568
1996-02-22,0.96895,0.97266,0.96123,0.96143,-0.000527,307200.0
1996-02-23,0.96143,0.9707,0.96094,0.9707,-0.000532,153600.0
1996-02-26,0.9707,0.97656,0.96631,0.97656,-0.000535,204800.0
1996-02-27,0.97656,0.95215,0.92773,0.92773,-0.000508,153600.0
1996-02-28,0.92773,0.92969,0.92969,0.92969,-0.000509,51200.0
1996-02-29,0.92969,0.91797,0.91406,0.91602,-0.000502,460800.0
1996-03-01,0.91602,0.92773,0.89844,0.92285,-0.000505,512000.0
1996-03-04,0.92773,0.9375,0.92773,0.9375,-0.000513,153600.0
1996-03-05,284.21454166736913,287.7100740191101,280.64618151805576,284.17321792566815,191.53280214186233,15844637.598380568
1996-03-06,0.95293,0.95293,0.91113,0.91113,-0.000499,204800.0
1996-03-07,0.91113,0.9375,0.91787,0.9375,-0.000513,307200.0
1996-03-08,0.9375,0.94521,0.92969,0.94521,-0.000518,256000.0
1996-03-11,0.94521,0.9375,0.93174,0.93555,-0.000512,153600.0
1996-03-12,0.93555,0.9375,0.91797,0.9375,-0.000513,409600.0
1996-03-13,0.9375,0.92813,0.91504,0.91504,-0.000501,870400.0
1996-03-14,0.91504,0.9375,0.93701,0.9375,-0.000513,307200.0
1996-03-15,0.9375,0.93369,0.93359,0.93359,-0.000511,153600.0
1996-03-18,0.93359,0.9375,0.93359,0.93496,-0.000512,1228800.0
1996-03-19,0.93496,0.9375,0.92773,0.9375,-0.000513,256000.0
1996-03-20,284.21454166736913,287.7100740191101,280.64618151805576,284.17321792566815,191.53280214186233,15844637.598380568
1996-03-21,0.9375,0.94473,0.93457,0.93457,-0.000512,256000.0
1996-03-22,0.93457,0.95117,0.9415,0.94668,-0.000518,768000.0
1996-03-25,0.94668,0.9373,0.9209,0.93555,-0.000512,409600.0
1996-03-26,0.93555,0.93359,0.92305,0.92305,-0.000506,204800.0
1996-03-27,0.92305,0.9375,0.92969,0.92969,-0.000509,716800.0
1996-03-28,0.92969,0.94932,0.94727,0.94932,-0.00052,307200.0
1996-03-29,0.94932,0.98428,0.95703,0.98232,-0.000538,716800.0
1996-04-01,284.21454166736913,287.7100740191101,280.64618151805576,284.17321792566815,191.53280214186233,15844637.598380568
1996-04-02,0.98232,0.98633,0.97461,0.98633,-0.00054,614400.0
1996-04-03,0.98633,0.99023,0.97852,0.97852,-0.000536,512000.0
1996-04-04,0.97852,0.97656,0.97656,0.97656,-0.000535,51200.0
