Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
HCLTECH,EQ,8-Nov-19,1148.45,1148.35,1164.4,1146.1,1148.8,1150.1,1153.38,2013290,2322086092,40596,1423296,70.7
HCLTECH,EQ,11-Nov-19,1150.1,1150,1153.7,1130.2,1145.95,1145.95,1139.24,953320,1086056194,42428,454632,47.69
HCLTECH,EQ,13-Nov-19,1145.95,1150,1156.1,1134.7,1142.9,1138.6,1146.58,1689175,1936772146,48195,1113536,65.92
HCLTECH,EQ,14-Nov-19,1138.6,1141.5,1157.4,1135.1,1149,1147.8,1147.24,1270462,1457522117,67142,629341,49.54
HCLTECH,EQ,15-Nov-19,1147.8,1150.95,1159.8,1140,1143.15,1142.3,1149.66,1530856,1759963280,39519,1052656,68.76
HCLTECH,EQ,18-Nov-19,1142.3,1148,1149.7,1138.8,1140.5,1141.1,1144.22,1242157,1421301717,40156,838205,67.48
HCLTECH,EQ,19-Nov-19,1141.1,1139,1143.5,1128.65,1133.9,1134.65,1134.93,1182510,1342063644,77856,827310,69.96
HCLTECH,EQ,20-Nov-19,1134.65,1135,1137.7,1125.5,1132.2,1132.8,1131.89,1112518,1259249505,42930,685028,61.57
HCLTECH,EQ,21-Nov-19,1132.8,1138.6,1148.5,1131.55,1135.5,1136.6,1139.32,1938092,2208111036,94771,1272728,65.67
HCLTECH,EQ,22-Nov-19,1136.6,1130.45,1134.95,1108.95,1117.5,1114.75,1114.96,1298964,1448296808,44429,814156,62.68
HCLTECH,EQ,25-Nov-19,1114.75,1117,1126.1,1106.05,1125,1124.75,1115.26,846601,944177401,28998,422467,49.9
HCLTECH,EQ,26-Nov-19,1124.75,1126.5,1134.5,1098.45,1109.75,1108.05,1115.03,3229962,3601508870,92295,2582049,79.94
HCLTECH,EQ,27-Nov-19,1108.05,1109,1134.4,1109,1123.7,1128.25,1124.5,1677156,1885963778,48391,951912,56.76
HCLTECH,EQ,28-Nov-19,1128.25,1139,1143.4,1125.5,1134,1132.65,1134.07,1206558,1368316978,37217,640793,53.11
HCLTECH,EQ,29-Nov-19,1132.65,1136,1136.85,1125.1,1127.5,1127.65,1129.76,1193851,1348769176,39262,833709,69.83
HCLTECH,EQ,2-Dec-19,1127.65,1139,1139,1123.5,1124.9,1125.3,1127.38,1497958,1688765770,51664,1010813,67.48
HCLTECH,EQ,3-Dec-19,1125.3,1129.95,1131,1121,1124.6,1124.55,1124.79,1783831,2006442462,46112,1347714,75.55
HCLTECH,EQ,4-Dec-19,1124.55,1127,1130,1116.45,1125,1125.5,1125.23,2951568,3321199480,86556,2161867,73.24
HCLTECH,EQ,5-Dec-19,1125.5,563.8,567.65,557.15,561.35,560.9,562.67,2683884,1510147684,69700,1109518,41.34
HCLTECH,EQ,6-Dec-19,560.9,563.9,567.05,558.65,560,560.3,562.75,1659752,934028296.4,35003,938110,56.52
HCLTECH,EQ,9-Dec-19,560.3,562.55,563.2,547,551.25,552.05,552.09,2192234,1210317817,79767,918032,41.88
HCLTECH,EQ,10-Dec-19,552.05,552.05,554.9,541.8,544.5,544.45,544.73,1628853,887288922.1,48635,918909,56.41
HCLTECH,EQ,11-Dec-19,544.45,545,549.9,539.45,545,543.8,545.12,2387958,1301731580,54141,1081285,45.28
HCLTECH,EQ,12-Dec-19,543.8,547.3,547.8,535.05,536,536.35,539.17,2061911,1111727746,57123,1200734,58.23
HCLTECH,EQ,13-Dec-19,536.35,538,545,536.8,544.5,543.15,540.86,2889796,1562986786,56876,1846863,63.91
HCLTECH,EQ,16-Dec-19,543.15,546,554.95,545.05,552.15,552.2,551.49,4590144,2531427406,88454,2752306,59.96
HCLTECH,EQ,17-Dec-19,552.2,555.5,559,552.5,558.7,557.75,555.97,3852266,2141753098,70229,2841301,73.76
HCLTECH,EQ,18-Dec-19,557.75,560,566.95,559,565.45,564.7,562.94,4618387,2599886459,71520,3263748,70.67
HCLTECH,EQ,19-Dec-19,564.7,565.5,574,564.75,569.55,569.5,569.26,3465644,1972852141,87034,2045668,59.03
HCLTECH,EQ,20-Dec-19,569.5,573.5,573.75,565.5,570,569.9,569.67,3135806,1786380356,63110,1974049,62.95
HCLTECH,EQ,23-Dec-19,569.9,567.5,575.55,566.55,570,570.95,571.3,1591463,909200256.1,45818,954075,59.95
HCLTECH,EQ,24-Dec-19,570.95,572,572.65,559.3,561,560.55,561.3,2354963,1321847185,35192,980297,41.63
HCLTECH,EQ,26-Dec-19,560.55,561.65,565,559.55,560.6,560.5,561.97,1848547,1038825506,43071,790917,42.79
HCLTECH,EQ,27-Dec-19,560.5,562.95,569,557,566.5,567.55,562.77,2786795,1568330379,68529,1623093,58.24
HCLTECH,EQ,30-Dec-19,567.55,567,577.5,564.25,569.8,569.3,571.2,1800754,1028582297,40239,830028,46.09
HCLTECH,EQ,31-Dec-19,569.3,569.1,571.5,565.05,569,568.1,568.67,1838808,1045684087,62191,1241596,67.52
HCLTECH,EQ,1-Jan-20,568.1,569.4,572.9,566.85,571.1,571.95,570.49,918373,523918302.1,17539,503196,54.79
HCLTECH,EQ,2-Jan-20,571.95,572.55,575,570.5,574,573.55,573.24,1075642,616604442.2,52734,523259,48.65
HCLTECH,EQ,3-Jan-20,573.55,574,588.5,572.85,582,585.05,584.14,3269446,1909826833,77707,1071299,32.77
HCLTECH,EQ,6-Jan-20,585.05,585,592.2,579.45,581.9,582,584.22,3589985,2097334940,60726,1698341,47.31
HCLTECH,EQ,7-Jan-20,582,582,587.75,579.05,583.9,584.25,584.46,3179728,1858421840,90166,2016150,63.41
HCLTECH,EQ,8-Jan-20,584.25,583,593,578,585,585.75,587.17,3593096,2109768988,100124,2062014,57.39
HCLTECH,EQ,9-Jan-20,585.75,586,588.15,579.25,580.95,580.3,581.99,2313648,1346525672,55170,1203611,52.02
HCLTECH,EQ,10-Jan-20,580.3,582,589.8,577.4,580.4,580.35,583.18,2049636,1195316778,77150,912075,44.5
HCLTECH,EQ,13-Jan-20,580.35,583.95,590,581,587,586.5,584.94,4096054,2395926902,88858,2557536,62.44
HCLTECH,EQ,14-Jan-20,586.5,587.2,597.4,587.15,594,594.3,592.35,3395378,2011260219,100342,1567640,46.17
HCLTECH,EQ,15-Jan-20,594.3,597,598.3,591.7,595,595.75,594.99,2348102,1397101272,47737,1263518,53.81
HCLTECH,EQ,16-Jan-20,595.75,597,598.3,586.75,594.65,593.25,593.17,2107442,1250064106,58134,925645,43.92
HCLTECH,EQ,17-Jan-20,593.25,585,602,585,600.5,598.8,594.66,4555694,2709100492,69220,1932730,42.42
HCLTECH,EQ,20-Jan-20,598.8,618,618,584.1,588.95,589.25,594.82,10272118,6110077608,124801,2672077,26.01
HCLTECH,EQ,21-Jan-20,589.25,589.3,593.25,582.35,582.75,584.05,587.79,2640668,1552159512,74242,1136410,43.03
HCLTECH,EQ,22-Jan-20,584.05,585.2,595,581.5,590.2,590.65,591.32,4402650,2603383755,111318,2198140,49.93
HCLTECH,EQ,23-Jan-20,590.65,590.1,599.95,587,598,598.95,596.55,6089397,3632609993,97913,4369373,71.75
HCLTECH,EQ,24-Jan-20,598.95,599,609,595.5,607.4,607.7,605.57,3551260,2150553377,79737,1947518,54.84
HCLTECH,EQ,27-Jan-20,607.7,607.7,608,601.75,605.55,604.35,605.04,2450421,1482591559,34778,1638147,66.85
HCLTECH,EQ,28-Jan-20,604.35,607.3,607.35,592.6,602.85,601.45,598.41,5330709,3189957865,122378,4045256,75.89
HCLTECH,EQ,29-Jan-20,601.45,605,611.5,602.2,608.85,608.85,608.53,4281329,2605296082,81339,3214524,75.08
HCLTECH,EQ,30-Jan-20,608.85,612,613.85,603.65,607.9,607.85,607.69,3334901,2026594901,99651,2341231,70.2
HCLTECH,EQ,31-Jan-20,607.85,607.85,608.9,589.6,591.6,591.4,595.05,3590768,2136694877,100805,2302497,64.12
HCLTECH,EQ,1-Feb-20,591.4,591.4,597.7,580.75,590.8,590.9,589.72,941425,555181526.4,20264,243753,25.89
HCLTECH,EQ,3-Feb-20,590.9,591.4,593.65,577.5,579.85,579.1,583.95,4024193,2349921570,105851,2708631,67.31
